,,,,,,,PILLARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Transcript Complete & Delivered?,Behind the Scenes in Ambassador Resources page?,Guest on Global Resources Map?,COMMUNITY,CULTURE,ECONOMY,ECOLOGY,HEALTH,BIOCHAR,BIO-DYNAMICS,BUSINESS,CLIMATE & SCIENCE,COMMUNITY,ECOLOGY & NATURE,EDUCATION,ESOTERICA,FARMING & FOOD,GREEN BUILDING,GREEN FAITH,HEALTH & WELLNESS,HERBAL MEDICINE,IMPACT INVESTING,INDIGENOUS WISDOM,MEDIA BOOKS & CONTENT,PERMA-CULTURE,POLICY & GOVERNMT,REGEN / SOCIAL ENTERPRISE,SOIL,SUSTAIN-ABILITY,TECHNOLOGY & MATERIALS,,COLORAOD & WYOMING
1,Nancy Tuchman,Loyola University,"Chicago, IL",X,X,X,,X,,X,,,,,X,,,X,,,,,,,,,,,,,,,,,
2,Judith Schwartz,"Author, ""Cows Save the Planet""","Bennington, VT",X,X,X,,,,X,,,,,X,,,,,X,,,,,,,X,,,,X,,,,
3,Brook Le Van,Sustainable Settings,"Carbondale, CO",X,X,X,,,,X,,,X,,,,,,,,,,,,,,,,,,X,,,,1
4,Rev. Fletcher Harper,Green Faith,"Highland Park, NJ",X,X,X,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,,
5,Stephanie Syson,Sustainable Settings,"Carbondale, CO",X,X,X,,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,1
6,Safi Kaskas,"Author, ""Koran with References to the Bible""","Jeddah, Saudi Arabia",X,X,X,X,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,
7,Rev. M. Kalani Souza,Olohana Foundation,"Paauilo, HI",X,X,X,X,X,,X,,,,,,,,,,,,X,,,,X,,,,,,,,,
8,Mark Retzloff,"Founder, Horizon Dairy","Boulder, CO",X,X,X,,,X,X,,,,X,,,,,,X,,,,,X,,,,,,,,,,1
9,Katie Garces,katiegarces.com,"Denver, CO",X,X,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,1
10,Lauren Tucker,Kiss the Ground,"Venice, CA",X,X,X,,,,X,,,,,X,,,,,X,,,,,,,,,,,X,,,,
11,Angela Ortiz,FLOWS,"Boulder, CO",X,X,X,X,X,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,1
12,Maureen Hart,International Society of Sustainability Professionals,"Portland, OR",X,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,,
13,Sarah Davison Tracy,Seeds of Exchange,"Denver, CO",X,X,X,X,X,,,,,,,,X,,,,,,X,,,,,X,,,,,,,,1
14,Aaron William Perry,Y on Earth Community,"Boulder, CO",X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,1
15,Ghita Carroll,Boulder Valley School District,"Boulder, CO",X,X,X,X,X,,X,,,,,X,,,X,,,,,,,,,,,,,,X,,,1
16,Brett KenCairn,City of Boulder Senior Climate Advisor,"Boulder, CO",X,X,X,X,,,X,,,,,X,X,,,,,,,,,,,,,,,X,X,,,1
17,Adam Stenftnagel,Fuel Switch,"Boulder, CO",X,X,X,,,,X,,,,,X,,,,,,X,,,,,,,,,,,X,X,,1
18,Aaron William Perry,Y on Earth Community,"Boulder, CO",X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,1
19,Brigitte Mars,"Author, Herbalist","Boulder, CO",X,X,X,X,X,,,X,,,,,,,,,,,,,X,,,X,,,,,,,,1
20,Christine Robinson,Deloitte & Touche,"Milwaukee, WI",X,X,X,,,X,X,,,,X,,,,,,,,,,,,,,,,,,X,,,
21,Maria Cooper,Highland City Club,"Boulder, CO",X,X,X,X,X,,,X,,,,,,,,,,,,X,,,,X,,,,,,,,1
22,Sahar Alsahani,Community of Living Traditions,"Stony Point, NY",X,X,X,X,X,,X,,,,,,X,,,,,,X,,,,,,,,,,,,,
23,Aaron William Perry,Y on Earth Community,"Boulder, CO",X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,1
24,David G. Haskell,"Author, ""The Songs of Trees""","Boulder, CO",X,X,X,,,,X,,,,,X,,X,X,,,,,,,,,X,,,,,X,,,1
25,Hunter Lovins,Natural Capitalism Solutions,"Hygiene, CO",X,X,X,,,X,X,,,,X,X,,,X,,,,,,,X,,X,,X,,,X,,,1
26,Dr. Dana McGrady,Purium,Florida,X,X,X,,X,,,X,,,,,,,,,,,,X,X,,,,,,,,,,,
27,Jennifer Menke,Regenerative Earth,"Osa Peninsula, Costa Rica",X,X,X,,X,,X,,,,,,X,X,X,,,,,,,,,,,,,,,,,1
28,Scott Black,Xerces Society,"Portland, OR",X,X,X,,,,X,,,,,X,,X,X,,,,,,,,,,,X,,,X,,,
29,Courtney Cosgriff,Honeybee Herbals,"Nederland, CO",X,X,X,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,1
30,Dr. Jandel Allen-Davis,Craig Hospital,"Denver, CO",X,X,X,X,X,,,X,,,,,X,,X,,,,,X,,,,,,,,,,,,1
31,Artem Nikulkov,Earth Coast Productions,"Boulder, CO",X,X,X,,X,,,,,,X,,X,,X,,,,,,,,,X,,,,,X,,,1
32,Lila Tresemer,Star House,"Boulder, CO",X,X,X,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,1
33,Kevin Townley,Grand Masonic Lodge of Colorado,"Colorado Springs, CO",X,X,X,X,X,,,,,,,,X,,X,X,,,,,,,,X,,,,,,,,1
34,Maija West,Law Office of Maija West,"Monterey, CA",X,X,X,,X,,X,,,,X,,X,X,,,,,,,,,,,,,,,,,,
35,Bud Sorenson,"Author, ""An Entrepreneurial Journey""","Boulder, CO",X,X,X,,,X,X,,,,X,,,,,,,,,,,,,X,,,,,X,,,1
36,Nicole Vitello,Equal Exchange,"Bridgewater, MA",X,X,X,,X,X,X,X,,,X,,,,,,X,,,,,,,,,,X,,X,,,
37,Dr. Nicola Siso,Aspen Talks Health,"Aspen, CO",X,X,X,,X,,,X,,,,,X,,,,,,,X,,,,,,,,,,,,1
38,Brad Lidge,Philadelphia Phillies (Ret'd),"Philadelphia, PA",X,X,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,X,,,1
39,Dayna Seraye,Hanuman Festival,"Boulder, CO",X,X,X,X,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,,1
40,Kimba Arem,Gaiearth,"Boulder, CO",X,X,X,,X,,,X,,,,,X,,,X,,,X,X,,,,X,,,,,,,,1
41,Addison Luck,Yale University,"New Haven, CT",X,X,X,,,,X,,,,,,X,X,X,,,,,,,,,,,X,,,X,,,1
42,Osha Chesnutt-Perry,St. Louis University,"St. Louis, MO",X,X,X,,X,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,
43,Chip Comins,AREDAY Summit,"Aspen, CO",X,X,X,,,X,X,,,,,,X,,X,,,,,,,,,,,,,,X,X,,1
44,Pat Frazier,Peace & Plenty Farm,"Hotchkiss, CO",X,X,X,,,,X,X,,X,,,X,X,X,,X,,,,X,,,,X,,,X,X,,,1
45,Adam Eggleston & Alex Martin,Madera Outdoor,"Oakland, CA",X,X,X,X,X,,,,,,X,,X,,,,,,,,,,,,,,X,,,,,
46,Xiye Bastida,"Earth Guardians, Extinction Rebellion, Youth Leader","New York, NY",X,X,X,,,,X,,,,,,X,X,X,,,,,,,,X,,,X,,,X,,,
47,Thea Maria,Biodynamic Association,"Santa Rosa, Ca",X,X,X,X,,,X,X,,X,,,X,X,X,,X,,,,,,,,,,,X,,,,
48,Matt Gray,City of Cleveland,"Cleveland, OH",X,X,X,X,,X,X,,,,X,,X,,,,,X,,,,,,,,,,,X,,,
49,Sally Ranney,AREDAY,"Carbondale, CO",X,X,X,,,X,X,,,,,,X,,X,,,,,,,,,,,X,,,X,X,,1
50,Anita Sanchez,Pachamama Alliance & Bioneers,"Upstate, Ny",X,X,X,,X,,X,,,,,,X,X,X,,,,X,,,,X,,,,,,,,,1
51,Jonathan Granoff,Global Security Institute,"Bala-Cynwyd, Pa",X,X,X,,X,,,,,,,,X,,X,,,,,,,,,,,X,,,X,,,
52,Emilie McGlone,Peace Boat,"New york, NY",X,X,X,,,,X,,,,,,X,,X,,,,,,,,,,,,,,X,,,
53,DJ Spooky,Google & Global Brain,"New York, NY",X,X,X,,X,,,,,,,,X,,X,,,,,,,,,X,,,,,X,,,
54,Katie Garces,Beautycounter,"Denver, Co",X,X,X,,X,,,X,,,,,X,,,,,,,X,,,,,,,,,,X,,1
55,Trammell Crow,EarthX,"Dallas, TX",X,X,X,,,X,X,,,,X,,X,,,,,X,,,,,,X,,,,,X,,,
56,Brain Czech,CASSE,"Tucson, AZ",X,X,X,,,X,X,,,,,,X,,X,,,,,,,,,,,,,,X,,,
57,Three Sisters,Mohawk Women - Three Sisters Sovereignty Project,"Hogansburg, NY",X,X,X,X,X,,X,,,,,,X,X,,,,,,,,,X,,,,,,,,,
58,Sarah Drew,Gaia Codex,"Hudson Vally, NY",X,X,X,,X,,X,,,,,,X,X,X,X,,,,,,,,X,,,,,,,,
59,Stone Hunter,Biodynamic Builder,"Paonia, Co",X,X,X,,X,,,,,X,,,X,X,X,X,X,X,,X,,,,,,,,X,X,X,,1
60,Ludovica,New School,"New York, NY",X,X,X,,X,,,,,,,,X,X,X,,,,,,,,,,,,,,X,,,
61,Michael Cain,EarthX Film,"New York, NY",X,X,X,,X,,X,,,,X,,X,X,X,,,,,,,,,X,,,,,X,,,
62,Pastor Brian Kunkler,Cleveland Food Forest,"San Jose, CA",X,X,X,X,X,,X,,,,,,X,X,X,,X,,X,X,,,,,X,,,X,X,,,
63,David Bronner,Dr. Bronners,"Los Angeles, Ca",X,X,X,,X,X,X,X,,,X,,X,X,,,X,,,,,,,,,X,X,X,X,X,,
64,Bethany Yarrow,Waterfall Unity Alliance,"New York, NY",X,X,X,,X,,X,,,,,,X,X,X,,,,,,,,,,,,,,,,,
65,Eric Lombardi,EcoCycle,"Boulder, CO",X,X,X,X,,X,X,,,,X,,X,X,X,,,,,,,,,,,X,X,,X,X,,1
66,Meadow Cook,Three Sisters Youth Board,"Hogansburg, NY",X,X,X,,X,,,,,,,,X,,X,,,,,,,,X,,,,,,,,,
67,Hunter Chesnutt Perry,Youth Activist,"Boulder,CO",X,X,X,,X,,X,,,,,,X,X,X,,,,,X,,,,,,,,,X,,,
68,Artem Nikulkov,COVID Special,"Boulder, Co",X,X,X,X,X,,,,,,X,,X,X,X,,,,,,,,,X,,,,,X,,,1
69,Ryan Zinn,Dr. Bronner's,"Santa Ana, CA",X,X,X,,X,X,X,X,,,X,,X,X,,,,,,X,,,,,,,X,,X,X,,
70,Jeff Moyer,Rodale Institute,"Kutztown, PA",X,X,X,,,,X,X,,,X,X,X,X,X,,X,,,,,,,,,X,,X,X,,,
71,Karenna Gore,Center for Earth Ethics,"New York, NY",X,X,X,,X,,X,,,,,,X,X,X,,,,X,,,,,,,X,,,X,,,
72,John Perkins,"Author, ""Touching the Jaguar""","Hanover, NH",X,X,X,,X,X,X,,,,,,X,X,X,,,,,,,,X,X,,,,,X,,,
73,Sydney Harrison,Colorado Rooted,"Denver, CO",X,X,X,X,,,X,,,,X,,X,X,X,,X,,,X,,,,,,,X,X,X,,,1
74,Oak Thorne,Thorne Nature Experience,"Boulder, CO",X,X,X,X,,,X,,,,,,X,X,X,,,,,,,,,,,,,,X,,,1
75,Dr. Jandel Allen-Davis,Reflecting: BLM,"Denver, CO",X,X,X,X,X,,,X,,,X,,X,,X,,,,,X,,,,,,,,,X,,,1
76,Charles Orgbon,Deloitte,"San Francisco,CA",X,X,X,,X,,,,,,X,,X,,X,,,,,,,,,,,,,,X,,,
77,Shelby Kaminsky,Edaphic Solutions,"Denver, CO",X,X,X,X,,,X,,,,X,,X,X,,,,,,,,,,,X,,,X,X,,,1
78,Maria Nikulkova,Microbiology,"Fort Collins, Co",X,X,X,,,,X,,,,,X,,X,X,,,,,,,,,,,,,X,,,,
79,Brian Dillon,Growing Spaces,"Jamestown, CO",X,X,X,,X,,,X,,,,,X,X,X,,X,X,,X,,,,,,,,X,,,,1
80,Adrian Alex Rodriguez,"EarthX Mexico, etc.","Mexico City, Mexico",X,X,X,X,,,X,,,,X,,X,X,X,,,,,,,,,X,,,,,,,,
81,Lem Tingley,Growing Spaces,"Golden, Co",X,X,X,,,,X,,,,X,,X,X,X,,X,X,,,,,,,,,,X,X,X,,1
