canonical_name,canonical_is_yoe_enterprise,candidate_name,candidate_id,candidate_type,candidate_mention_count,jw_score,type_match,recommendation,status
AndCO Hospitality,no,eco hospitality,eco hospitality,PRACTICE,1,0.919,no,type-mismatch,
Association of Waldorf Schools of North America,no,Association of Waldorf Schools of North America,Association of Waldorf Schools of North America,ORGANIZATION,6,1.000,yes,auto-flag,accept
Association of Waldorf Schools of North America,no,Association of Walters Schools of North America,Association of Walters Schools of North America,ORGANIZATION,1,0.961,yes,auto-flag,
Association of Waldorf Schools of North America,no,Association of Walder Schools of North America,Association of Walder Schools of North America,ORGANIZATION,2,0.956,yes,auto-flag,
Association of Waldorf Schools of North America,no,Association of Water Schools of North America,Association of Water Schools of North America,ORGANIZATION,5,0.942,yes,auto-flag,
Association of Waldorf Schools of North America,no,Association of Waldorf Schools,Association of Waldorf Schools,ORGANIZATION,1,0.928,yes,auto-flag,
Bluestone Life Insurance,no,Bluestone Life Insurance,Bluestone Life Insurance,ORGANIZATION,1,1.000,yes,auto-flag,accept
Brad & Lindsay Lidge Foundation,no,Brad and Lindsey Lidge Foundation,Brad and Lindsey Lidge Foundation,ORGANIZATION,1,0.895,yes,low-confidence,
Brad & Lindsay Lidge Foundation,no,Brad Lidge,Brad Lidge,PERSON,4,0.865,no,type-mismatch,
Brad & Lindsay Lidge Foundation,no,Brad and Lindsay Lidge Family Foundation,Brad and Lindsay Lidge Family Foundation,ORGANIZATION,1,0.864,yes,low-confidence,
Chelsea Green Publishing,no,Chelsea Green Publishing,Chelsea Green Publishing,ORGANIZATION,27,1.000,yes,auto-flag,accept
Chelsea Green Publishing,no,Chelsea Green Publishers,Chelsea Green Publishers,ORGANIZATION,1,0.950,yes,auto-flag,
Chelsea Green Publishing,no,Chelsea Green,Chelsea Green,ORGANIZATION,16,0.908,yes,low-confidence,
Chelsea Green Publishing,no,Chelsea Green Foundation,Chelsea Green Foundation,ORGANIZATION,1,0.872,yes,low-confidence,
Clean Content,no,clean water,clean water,CONCEPT,4,0.869,no,type-mismatch,
Clean Content,no,Clean Water,Clean Water,CONCEPT,1,0.869,no,type-mismatch,
Clean Content,no,Clean Water Act,Clean Water Act,CONCEPT,6,0.858,no,type-mismatch,
Climate First Bank,no,Climate First Bank,Climate First Bank,ORGANIZATION,3,1.000,yes,auto-flag,accept
Climate First Bank,no,Climate First,Climate First,ORGANIZATION,1,0.944,yes,auto-flag,
Climate First Bank,no,Climate Forest,Climate Forest,CONCEPT,1,0.905,no,type-mismatch,
Climate First Bank,no,climate strike,climate strike,EVENT,1,0.899,no,type-mismatch,
Climate First Bank,no,Climate Strike,Climate Strike,EVENT,1,0.899,no,type-mismatch,
Climate First Bank,no,climate action,climate action,CONCEPT,3,0.888,no,type-mismatch,
Climate First Bank,no,Climate Action,Climate Action,CONCEPT,6,0.888,no,type-mismatch,
Climate First Bank,no,Climate action,Climate action,PRACTICE,1,0.888,no,type-mismatch,
Climate First Bank,no,Climate Migration,Climate Migration,CONCEPT,1,0.882,no,type-mismatch,
Climate First Bank,no,Climate,Climate,CONCEPT,2,0.878,no,type-mismatch,
Climate First Bank,no,climate book,climate book,PRODUCT,1,0.878,yes,low-confidence,
Climate First Bank,no,Climate Disruption,Climate Disruption,CONCEPT,1,0.874,no,type-mismatch,
Climate First Bank,no,climate stability,climate stability,CONCEPT,1,0.867,no,type-mismatch,
Climate First Bank,no,climate security,climate security,CONCEPT,1,0.867,no,type-mismatch,
Climate First Bank,no,Climate Stability,Climate Stability,CONCEPT,1,0.867,no,type-mismatch,
Climate First Bank,no,climate breakdown,climate breakdown,CONCEPT,1,0.867,no,type-mismatch,
